start_date,home_team,home_points,away_team,away_points
2019-08-24T16:00:00.000Z,Colgate,14,Villanova,34
2019-08-24T19:00:00.000Z,Samford,22,Youngstown State,45
2019-08-24T23:00:00.000Z,Florida,24,Miami,20
2019-08-25T02:30:00.000Z,Hawai'i,45,Arizona,38
2019-08-29T22:00:00.000Z,Morehead State,44,Union College,7
2019-08-29T23:00:00.000Z,Delaware,31,Delaware State,13
2019-08-29T23:00:00.000Z,Cincinnati,24,UCLA,14
2019-08-29T23:00:00.000Z,Connecticut,24,Wagner,21
2019-08-29T23:00:00.000Z,Eastern Kentucky,53,Valparaiso,7
2019-08-29T23:00:00.000Z,Stony Brook,35,Bryant,10
2019-08-29T23:00:00.000Z,Richmond,38,Jacksonville,19
2019-08-29T23:00:00.000Z,Murray State,59,Pikeville,20
2019-08-29T23:00:00.000Z,Buffalo,38,Robert Morris,10
2019-08-29T23:00:00.000Z,Bowling Green,46,Morgan State,3
2019-08-29T23:00:00.000Z,Chattanooga,24,Eastern Illinois,10
2019-08-29T23:30:00.000Z,Southeast Missouri State,44,Southern Illinois,26
2019-08-29T23:30:00.000Z,UT Martin,42,Northwestern State,20
2019-08-29T23:30:00.000Z,UCF,62,Florida A&M,0
2019-08-29T23:30:00.000Z,Charlotte,49,Gardner-Webb,28
2019-08-29T23:30:00.000Z,Western Kentucky,28,Central Arkansas,35
2019-08-30T00:00:00.000Z,Tulane,42,Florida International,14
2019-08-30T00:00:00.000Z,UAB,24,Alabama State,19
2019-08-30T00:00:00.000Z,Lamar,65,Bethel (TN),16
2019-08-30T00:00:00.000Z,Clemson,52,Georgia Tech,14
2019-08-30T00:00:00.000Z,North Alabama,26,Western Illinois,17
2019-08-30T00:00:00.000Z,Austin Peay,41,North Carolina Central,10
2019-08-30T00:00:00.000Z,Southeastern Louisiana,35,Jacksonville State,14
2019-08-30T00:30:00.000Z,Texas A&M,41,Texas State,7
2019-08-30T00:50:00.000Z,Central Michigan,38,Albany,21
2019-08-30T01:00:00.000Z,Minnesota,28,South Dakota State,21
2019-08-30T01:00:00.000Z,Northern Arizona,37,Missouri State,23
2019-08-30T02:00:00.000Z,Arizona State,30,Kent State,7
2019-08-30T02:00:00.000Z,San José State,35,Northern Colorado,18
2019-08-30T02:15:00.000Z,BYU,12,Utah,30
2019-08-30T22:00:00.000Z,Army,14,Rice,7
2019-08-30T22:00:00.000Z,Maine,42,Sacred Heart,14
2019-08-30T23:00:00.000Z,Michigan State,28,Tulsa,7
2019-08-30T23:15:00.000Z,Rutgers,48,UMass,21
2019-08-30T23:55:00.000Z,South Florida,0,Wisconsin,49
2019-08-31T00:00:00.000Z,Wake Forest,38,Utah State,35
2019-08-31T01:30:00.000Z,Nevada,34,Purdue,31
2019-08-31T02:00:00.000Z,Colorado,52,Colorado State,31
2019-08-31T02:30:00.000Z,Oregon State,36,Oklahoma State,52
2019-08-31T16:00:00.000Z,Kansas,24,Indiana State,17
2019-08-31T16:00:00.000Z,Ball State,24,Indiana,34
2019-08-31T16:00:00.000Z,Maryland,79,Howard,0
2019-08-31T16:00:00.000Z,Memphis,15,Ole Miss,10
2019-08-31T16:00:00.000Z,Kentucky,38,Toledo,24
2019-08-31T16:00:00.000Z,NC State,34,East Carolina,6
2019-08-31T16:00:00.000Z,Florida State,31,Boise State,36
2019-08-31T16:00:00.000Z,Nebraska,35,South Alabama,21
2019-08-31T16:00:00.000Z,Iowa State,29,Northern Iowa,26
2019-08-31T16:00:00.000Z,Illinois,42,Akron,3
2019-08-31T16:00:00.000Z,Ohio State,45,Florida Atlantic,21
2019-08-31T16:00:00.000Z,Louisiana,28,Mississippi State,38
2019-08-31T16:30:00.000Z,Lehigh,13,St Francis (PA),14
2019-08-31T17:00:00.000Z,Davidson,27,Georgetown,20
2019-08-31T17:00:00.000Z,Furman,46,Charleston Southern,13
2019-08-31T18:00:00.000Z,Ohio,41,Rhode Island,20
2019-08-31T18:00:00.000Z,West Virginia,20,James Madison,13
2019-08-31T19:00:00.000Z,Temple,56,Bucknell,12
2019-08-31T19:00:00.000Z,Washington,47,Eastern Washington,14
2019-08-31T19:00:00.000Z,Merrimack,45,Virginia Lynchburg,14
2019-08-31T19:00:00.000Z,South Dakota,17,Montana,31
2019-08-31T19:00:00.000Z,The Citadel,21,Towson,28
2019-08-31T19:30:00.000Z,Tennessee,30,Georgia State,38
2019-08-31T19:30:00.000Z,Air Force,48,Colgate,7
2019-08-31T19:30:00.000Z,Penn State,79,Idaho,7
2019-08-31T19:30:00.000Z,North Carolina,24,South Carolina,20
2019-08-31T19:30:00.000Z,Navy,45,Holy Cross,7
2019-08-31T19:30:00.000Z,Appalachian State,42,East Tennessee State,7
2019-08-31T19:30:00.000Z,Alabama,42,Duke,3
2019-08-31T19:30:00.000Z,Coastal Carolina,23,Eastern Michigan,30
2019-08-31T20:00:00.000Z,North Dakota State,57,Butler,10
2019-08-31T20:00:00.000Z,Stanford,17,Northwestern,7
2019-08-31T20:00:00.000Z,Arkansas,20,Portland State,13
2019-08-31T20:00:00.000Z,Texas Tech,45,Montana State,10
2019-08-31T20:00:00.000Z,Boston College,35,Virginia Tech,28
2019-08-31T21:00:00.000Z,North Dakota,47,Drake,7
2019-08-31T21:00:00.000Z,Cal Poly,52,San Diego,34
2019-08-31T22:00:00.000Z,Kennesaw State,59,Point University,0
2019-08-31T22:00:00.000Z,Hampton,65,Elizabeth City State,7
2019-08-31T22:00:00.000Z,New Mexico,39,Sam Houston State,31
2019-08-31T22:00:00.000Z,Troy,43,Campbell,14
2019-08-31T22:00:00.000Z,North Carolina A&T,24,Elon,21
2019-08-31T22:00:00.000Z,William & Mary,30,Lafayette,17
2019-08-31T22:00:00.000Z,South Carolina State,28,Wofford,13
2019-08-31T22:00:00.000Z,Western Carolina,27,Mercer,49
2019-08-31T22:00:00.000Z,Fordham,23,Central Connecticut,26
2019-08-31T22:00:00.000Z,UT San Antonio,35,Incarnate Word,7
2019-08-31T22:00:00.000Z,Liberty,0,Syracuse,24
2019-08-31T22:30:00.000Z,California,27,UC Davis,13
2019-08-31T22:30:00.000Z,Texas Southern,23,Prairie View,44
2019-08-31T22:30:00.000Z,Marshall,56,VMI,17
2019-08-31T23:00:00.000Z,Tennessee Tech,59,Samford,58
2019-08-31T23:00:00.000Z,Tennessee State,26,Mississippi Valley State,20
2019-08-31T23:00:00.000Z,Northern Illinois,24,Illinois State,10
2019-08-31T23:00:00.000Z,Western Michigan,48,Monmouth,13
2019-08-31T23:00:00.000Z,Kansas State,49,Nicholls,14
2019-08-31T23:00:00.000Z,Baylor,56,Stephen F. Austin,17
2019-08-31T23:00:00.000Z,Arkansas State,30,SMU,37
2019-08-31T23:00:00.000Z,McNeese,34,Southern,28
2019-08-31T23:00:00.000Z,Southern Mississippi,38,Alcorn State,10
2019-08-31T23:00:00.000Z,Old Dominion,24,Norfolk State,21
2019-08-31T23:30:00.000Z,Michigan,40,Middle Tennessee,21
2019-08-31T23:30:00.000Z,Pittsburgh,14,Virginia,30
2019-08-31T23:30:00.000Z,Iowa,38,Miami (OH),14
2019-08-31T23:30:00.000Z,Auburn,27,Oregon,21
2019-08-31T23:30:00.000Z,LSU,55,Georgia Southern,3
2019-08-31T23:30:00.000Z,Wyoming,37,Missouri,31
2019-08-31T23:30:00.000Z,Vanderbilt,6,Georgia,30
2019-08-31T23:30:00.000Z,North Texas,51,Abilene Christian,31
2019-09-01T00:00:00.000Z,UTEP,36,Houston Baptist,34
2019-09-01T00:00:00.000Z,Texas,45,Louisiana Tech,14
2019-09-01T00:00:00.000Z,TCU,39,Arkansas-Pine Bluff,7
2019-09-01T00:00:00.000Z,Louisiana Monroe,31,Grambling,9
2019-09-01T01:00:00.000Z,San Diego State,6,Weber State,0
2019-09-01T01:00:00.000Z,Sacramento State,77,Southern Oregon,19
2019-09-01T02:00:00.000Z,UNLV,56,Southern Utah,23
2019-09-01T02:00:00.000Z,Washington State,58,New Mexico State,7
2019-09-01T02:30:00.000Z,USC,31,Fresno State,23
2019-09-01T19:00:00.000Z,Jackson State,15,Bethune-Cookman,36
2019-09-01T19:30:00.000Z,Alabama A&M,35,Morehouse,30
2019-09-01T23:30:00.000Z,Oklahoma,49,Houston,31
2019-09-03T00:00:00.000Z,Louisville,17,Notre Dame,35
2019-12-20T19:00:00.000Z,Charlotte,9,Buffalo,31
2019-12-21T00:30:00.000Z,Kent State,51,Utah State,41
2019-12-21T01:00:00.000Z,North Central,41,UW-Whitewater,14
2019-12-21T17:00:00.000Z,North Carolina A&T,64,Alcorn State,44
2019-12-21T19:00:00.000Z,North Dakota State,42,Montana State,14
2019-12-21T19:00:00.000Z,San Diego State,48,Central Michigan,11
2019-12-21T19:30:00.000Z,Georgia Southern,16,Liberty,23
2019-12-21T20:00:00.000Z,Minnesota State,40,West Florida,48
2019-12-21T20:30:00.000Z,Florida Atlantic,52,SMU,28
2019-12-21T22:30:00.000Z,Arkansas State,34,Florida International,26
2019-12-21T23:30:00.000Z,James Madison,30,Weber State,14
2019-12-22T00:30:00.000Z,Washington,38,Boise State,7
2019-12-22T02:00:00.000Z,UAB,17,Appalachian State,31
2019-12-23T19:30:00.000Z,Marshall,25,UCF,48
2019-12-25T01:00:00.000Z,BYU,34,Hawai'i,38
2019-12-26T21:00:00.000Z,Miami,0,Louisiana Tech,14
2019-12-27T01:00:00.000Z,Eastern Michigan,30,Pittsburgh,34
2019-12-27T17:00:00.000Z,Temple,13,North Carolina,55
2019-12-27T20:20:00.000Z,Wake Forest,21,Michigan State,27
2019-12-27T23:45:00.000Z,Texas A&M,24,Oklahoma State,21
2019-12-28T01:00:00.000Z,Iowa,49,USC,24
