x1,x2,x3,x4,x5,x6,x7
Gonzaga (1.0),Gonzaga (0.9),Gonzaga (0.64),Gonzaga (0.56),Duke (0.55),North Carolina (0.6),Kansas (0.59)
Georgia St. (1.0),,,,,,
Boise St. (1.0),Memphis (0.72),,,,,
Memphis (1.0),,,,,,
Connecticut (1.0),New Mexico St. (0.73),New Mexico St. (0.92),,,,
New Mexico St. (1.0),,,,,,
Arkansas (1.0),Arkansas (0.97),,,,,
Vermont (1.0),,,,,,
Alabama (1.0),Notre Dame (0.81),Texas Tech (0.73),Duke (0.56),,,
Notre Dame (1.0),,,,,,
Texas Tech (1.0),Texas Tech (0.99),,,,,
Montana St. (1.0),,,,,,
Michigan St. (1.0),Michigan St. (0.74),Duke (0.8),,,,
Davidson (1.0),,,,,,
Duke (1.0),Duke (0.98),,,,,
Cal St. Fullerton (1.0),,,,,,
Baylor (1.0),Baylor (0.97),North Carolina (0.76),North Carolina (0.65),North Carolina (0.83),,
Norfolk St. (1.0),,,,,,
North Carolina (1.0),North Carolina (0.98),,,,,
Marquette (1.0),,,,,,
Saint Mary's (1.0),Saint Mary's (0.85),Saint Mary's (0.72),,,,
Indiana (1.0),,,,,,
UCLA (1.0),Akron (0.84),,,,,
Akron (1.0),,,,,,
Texas (1.0),Virginia Tech (0.56),Purdue (0.53),Purdue (0.63),,,
Virginia Tech (1.0),,,,,,
Purdue (1.0),Purdue (0.94),,,,,
Yale (1.0),,,,,,
Murray St. (1.0),Murray St. (0.57),Murray St. (0.51),,,,
San Francisco (1.0),,,,,,
Kentucky (1.0),Saint Peter's (0.51),,,,,
Saint Peter's (1.0),,,,,,
Arizona (1.0),Arizona (0.54),TCU (0.56),Houston (0.7),Houston (0.71),Kansas (0.64),
Wright St. (1.0),,,,,,
Seton Hall (1.0),TCU (0.87),,,,,
TCU (1.0),,,,,,
Houston (1.0),Houston (0.87),Houston (0.87),,,,
UAB (1.0),,,,,,
Illinois (1.0),Illinois (0.62),,,,,
Chattanooga (1.0),,,,,,
Colorado St. (1.0),Michigan (0.73),Tennessee (0.5),Tennessee (0.52),,,
Michigan (1.0),,,,,,
Tennessee (1.0),Tennessee (1.0),,,,,
Longwood (1.0),,,,,,
Ohio St. (1.0),Loyola Chicago (0.79),Villanova (0.54),,,,
Loyola Chicago (1.0),,,,,,
Villanova (1.0),Villanova (0.98),,,,,
Delaware (1.0),,,,,,
Kansas (1.0),Kansas (0.99),Kansas (0.88),Kansas (0.84),Kansas (0.92),,
Texas Southern (1.0),,,,,,
San Diego St. (1.0),Creighton (0.65),,,,,
Creighton (1.0),,,,,,
Iowa (1.0),Iowa (0.93),Iowa (0.68),,,,
Richmond (1.0),,,,,,
Providence (1.0),Providence (0.67),,,,,
South Dakota St. (1.0),,,,,,
LSU (1.0),LSU (0.56),Wisconsin (0.68),Miami FL (0.55),,,
Iowa St. (1.0),,,,,,
Wisconsin (1.0),Wisconsin (0.66),,,,,
Colgate (1.0),,,,,,
USC (1.0),Miami FL (0.63),Miami FL (0.66),,,,
Miami FL (1.0),,,,,,
Auburn (1.0),Auburn (0.95),,,,,
Jacksonville St. (1.0),,,,,,
