DATE	TYPE	TeamA	ConfA	TeamB	VenueA	RESULT	ResultA	Scores	split_1	split_2	ScoreA	ScoreB
2021-01-16	C	Virginia	ACC	Clemson	A	W, 85-50	W	85-50	85	50	85	50
2021-01-13	C	Florida St.	ACC	North Carolina St.	H	W, 105-73	W	105-73	105	73	105	73
2021-02-28	C	Houston	Amer	South Florida	H	W, 98-52	W	98-52	98	52	98	52
2020-12-19	C	Baylor	B12	Kansas St.	A	W, 100-69	W	100-69	100	69	100	69
2021-03-22	T	Alabama	SEC	Maryland	N	W, 96-77	W	96-77	96	77	96	77
2021-04-03	T	Baylor	B12	Houston	N	W, 78-59	W	78-59	78	59	78	59
2021-03-07	C	Baylor	B12	Texas Tech	H	W, 88-73	W	88-73	88	73	88	73
2021-02-10	C	Villanova	BE	Marquette	H	W, 96-64	W	96-64	96	64	96	64
2021-02-10	C	LSU	SEC	Mississippi St.	A	W, 94-80	W	94-80	94	80	94	80
2020-12-09	N	Xavier	BE	Oklahoma	H	W, 99-77	W	99-77	99	77	99	77
2021-03-21	T	Villanova	BE	North Texas	N	W, 84-61	W	84-61	84	61	84	61
2021-03-05	CT	Davidson	A10	George Mason	N	W, 99-67	W	99-67	99	67	99	67
2021-03-06	C	Connecticut	BE	Georgetown	H	W, 98-82	W	98-82	98	82	98	82
2021-02-21	C	Ohio St.	B10	Michigan	H	L, 92-87	L	92-87	92	87	87	92
2021-01-14	C	Arizona	P12	Oregon St.	A	W, 98-64	W	98-64	98	64	98	64
2021-01-14	C	UCLA	P12	Washington St.	H	W, 91-61	W	91-61	91	61	91	61
2021-03-20	T	Iowa	B10	Grand Canyon	N	W, 86-74	W	86-74	86	74	86	74
2021-01-20	C	Georgia Tech	ACC	Clemson	H	W, 83-65	W	83-65	83	65	83	65
2021-01-17	C	Iowa	B10	Northwestern	A	W, 96-73	W	96-73	96	73	96	73
2021-01-16	C	Ohio St.	B10	Illinois	A	W, 87-81	W	87-81	87	81	87	81
2021-02-06	C	Seton Hall	BE	Connecticut	A	W, 80-73	W	80-73	80	73	80	73
2021-04-05	T	Baylor	B12	Gonzaga	N	W, 86-70	W	86-70	86	70	86	70
2020-12-14	C	Marquette	BE	Creighton	A	W, 89-84	W	89-84	89	84	89	84
2021-03-10	CT	Syracuse	ACC	North Carolina St.	N	W, 89-68	W	89-68	89	68	89	68
2021-03-07	C	Oregon	P12	Oregon St.	A	W, 80-67	W	80-67	80	67	80	67
2021-02-21	C	Michigan	B10	Ohio St.	A	W, 92-87	W	92-87	92	87	92	87
2021-01-05	C	Kansas	B12	TCU	A	W, 93-64	W	93-64	93	64	93	64
2021-03-19	T	Syracuse	ACC	San Diego St.	N	W, 78-62	W	78-62	78	62	78	62
2021-03-20	T	Colorado	P12	Georgetown	N	W, 96-73	W	96-73	96	73	96	73
2020-12-11	N	Iowa	B10	Iowa St.	H	W, 105-77	W	105-77	105	77	105	77
2021-01-27	C	Baylor	B12	Kansas St.	H	W, 107-59	W	107-59	107	59	107	59
2021-01-28	C	Houston	Amer	Tulane	A	W, 83-60	W	83-60	83	60	83	60
2021-02-18	C	Ohio St.	B10	Penn St.	A	W, 92-82	W	92-82	92	82	92	82
2021-02-15	C	Florida St.	ACC	Virginia	H	W, 81-60	W	81-60	81	60	81	60
2021-01-19	C	Alabama	SEC	LSU	A	W, 105-75	W	105-75	105	75	105	75
2020-12-28	C	Arizona	P12	Colorado	H	W, 88-74	W	88-74	88	74	88	74
2021-02-13	C	Iowa	B10	Michigan St.	A	W, 88-58	W	88-58	88	58	88	58
2020-11-25	N	Illinois	B10	North Carolina A&T	H	W, 122-60	W	122-60	122	60	122	60
2020-12-01	N	Villanova	BE	Hartford	N	W, 87-53	W	87-53	87	53	87	53
2021-03-11	CT	Connecticut	BE	DePaul	N	W, 94-60	W	94-60	94	60	94	60
2021-03-14	CT	Houston	Amer	Cincinnati	N	W, 91-54	W	91-54	91	54	91	54
2021-02-07	C	Villanova	BE	Georgetown	H	W, 84-74	W	84-74	84	74	84	74
2021-01-30	N	TCU	B12	Missouri	A	L, 102-98	L	102-98	102	98	98	102
2021-02-17	C	Duke	ACC	Wake Forest	A	W, 84-60	W	84-60	84	60	84	60
2021-02-06	C	St. John's	BE	Providence	A	W, 92-81	W	92-81	92	81	92	81
2021-02-13	C	Creighton	BE	Villanova	H	W, 86-70	W	86-70	86	70	86	70
2020-12-23	C	Illinois	B10	Penn St.	A	W, 98-81	W	98-81	98	81	98	81
2020-12-20	C	Xavier	BE	Marquette	H	W, 91-88	W	91-88	91	88	91	88
2021-02-09	C	Notre Dame	ACC	Duke	A	W, 93-89	W	93-89	93	89	93	89
2021-03-19	T	Wisconsin	B10	North Carolina	N	W, 85-62	W	85-62	85	62	85	62
2020-12-20	C	Rutgers	B10	Illinois	H	W, 91-88	W	91-88	91	88	91	88
2020-12-19	N	Wisconsin	B10	Louisville	H	W, 85-48	W	85-48	85	48	85	48
2020-12-20	N	Colorado	P12	Washington	N	W, 92-69	W	92-69	92	69	92	69
2021-02-24	C	Saint Joseph's	A10	Dayton	H	W, 97-84	W	97-84	97	84	97	84
2021-04-03	T	UCLA	P12	Gonzaga	N	L, 93-90	L	93-90	93	90	90	93
2020-12-19	N	Ohio St.	B10	UCLA	N	W, 77-70	W	77-70	77	70	77	70
2021-02-20	C	LSU	SEC	Auburn	H	W, 104-80	W	104-80	104	80	104	80
2021-02-13	C	Alabama	SEC	Georgia	H	W, 115-82	W	115-82	115	82	115	82
2020-12-02	N	Alabama	SEC	Providence	N	W, 88-71	W	88-71	88	71	88	71
2020-12-20	C	Marquette	BE	Xavier	A	L, 91-88	L	91-88	91	88	88	91
2021-01-25	C	West Virginia	B12	Texas Tech	H	W, 88-87	W	88-87	88	87	88	87
2020-12-22	C	Kansas	B12	West Virginia	H	W, 79-65	W	79-65	79	65	79	65
2021-02-06	C	Colorado	P12	Arizona	H	W, 82-79	W	82-79	82	79	82	79
2020-12-20	C	Illinois	B10	Rutgers	A	L, 91-88	L	91-88	91	88	88	91
2020-12-25	C	Minnesota	B10	Iowa	H	W, 102-95	W	102-95	102	95	102	95
2020-12-29	C	Rutgers	B10	Purdue	H	W, 81-76	W	81-76	81	76	81	76
2021-03-12	CT	Illinois	B10	Rutgers	N	W, 90-68	W	90-68	90	68	90	68
2021-02-02	C	Baylor	B12	Texas	A	W, 83-69	W	83-69	83	69	83	69
2021-01-09	C	Ohio St.	B10	Rutgers	A	W, 79-68	W	79-68	79	68	79	68
2021-01-09	C	Creighton	BE	St. John's	H	W, 97-79	W	97-79	97	79	97	79
2021-02-22	C	Duke	ACC	Syracuse	H	W, 85-71	W	85-71	85	71	85	71
2021-03-12	CT	Colorado	P12	USC	N	W, 72-70	W	72-70	72	70	72	70
2021-03-12	CT	Alabama	SEC	Mississippi St.	N	W, 85-48	W	85-48	85	48	85	48
2021-02-20	C	Georgia Tech	ACC	Miami FL	A	W, 87-60	W	87-60	87	60	87	60
2021-02-02	C	Iowa	B10	Michigan St.	H	W, 84-78	W	84-78	84	78	84	78
2020-12-08	N	Penn St.	B10	Virginia Tech	A	W, 75-55	W	75-55	75	55	75	55
2021-02-18	C	Iowa	B10	Wisconsin	A	W, 77-62	W	77-62	77	62	77	62
2021-03-29	T	Baylor	B12	Arkansas	N	W, 81-72	W	81-72	81	72	81	72
2021-01-18	C	Baylor	B12	Kansas	H	W, 77-69	W	77-69	77	69	77	69
2020-12-08	N	Notre Dame	ACC	Ohio St.	H	L, 90-85	L	90-85	90	85	85	90
2020-12-30	N	Baylor	B12	Alcorn St.	H	W, 105-76	W	105-76	105	76	105	76
2021-01-20	C	Washington	P12	Colorado	H	W, 84-80	W	84-80	84	80	84	80
2020-12-23	C	Villanova	BE	Marquette	A	W, 85-68	W	85-68	85	68	85	68
2020-12-31	C	Michigan	B10	Maryland	A	W, 84-73	W	84-73	84	73	84	73
